Date,Time,,VDD (SWA) Voltage [V],VDDQ (SWB) Voltage [V],VPP (SWC) Voltage [V],1.8V VOUT Voltage [V],1.0V VOUT Voltage [V],VIN Voltage [V],Total Power [W],PMIC High Temperature [Yes/No],PMIC Over Voltage [Yes/No],PMIC Under Voltage [Yes/No],SPD Hub Temperature [C],VDD (SWA) Voltage [V],VDDQ (SWB) Voltage [V],VPP (SWC) Voltage [V],1.8V VOUT Voltage [V],1.0V VOUT Voltage [V],VIN Voltage [V],Total Power [W],PMIC High Temperature [Yes/No],PMIC Over Voltage [Yes/No],PMIC Under Voltage [Yes/No]
30.11.2025,20:17.5,,1.08,1.095,1.8,1.785,0.99,5.04,0.625,No,No,No,46.8,1.08,1.095,1.8,1.785,0.99,5.04,0.25,No,No,No
30.11.2025,20:19.5,,1.08,1.095,1.8,1.785,0.99,5.04,0.25,No,No,No,46.8,1.08,1.095,1.8,1.785,0.99,5.04,0.375,No,No,No
30.11.2025,20:21.5,,1.08,1.095,1.8,1.785,0.99,5.04,0.25,No,No,No,46.8,1.08,1.095,1.8,1.8,0.99,5.04,0.375,No,No,No
30.11.2025,20:23.5,,1.08,1.095,1.8,1.8,0.99,5.04,1,No,No,No,46.8,1.08,1.095,1.8,1.8,0.99,5.04,0.875,No,No,No
30.11.2025,20:25.5,,1.08,1.095,1.8,1.8,0.99,5.04,0.375,No,No,No,46.8,1.08,1.095,1.8,1.8,0.99,5.04,0.25,No,No,No
30.11.2025,20:27.5,,1.095,1.095,1.8,1.8,0.99,5.04,0.375,No,No,No,47,1.08,1.095,1.8,1.8,0.99,5.04,0.875,No,No,No
30.11.2025,20:29.5,,1.095,1.095,1.8,1.8,0.99,5.04,0.25,No,No,No,47,1.095,1.11,1.8,1.8,0.99,5.04,0.25,No,No,No
30.11.2025,20:31.5,,1.095,1.095,1.8,1.8,0.99,5.04,0.25,No,No,No,47,1.095,1.095,1.8,1.8,0.99,5.04,0.375,No,No,No
30.11.2025,20:33.5,,1.095,1.095,1.8,1.785,0.99,5.04,0.875,No,No,No,47,1.095,1.095,1.8,1.8,0.99,5.04,2.125,No,No,No
30.11.2025,20:35.5,,1.095,1.095,1.8,1.785,1.005,5.04,1.125,No,No,No,47,1.095,1.095,1.8,1.785,0.99,5.04,0.375,No,No,No
30.11.2025,20:37.5,,1.095,1.095,1.8,1.785,1.005,5.04,1.125,No,No,No,47.2,1.095,1.095,1.8,1.785,1.005,5.04,0.625,No,No,No
30.11.2025,20:39.5,,1.095,1.095,1.8,1.785,1.005,5.04,0.25,No,No,No,47.2,1.095,1.095,1.8,1.785,1.005,5.04,0.375,No,No,No
30.11.2025,20:41.5,,1.095,1.095,1.8,1.785,1.005,5.04,0.625,No,No,No,47.5,1.095,1.095,1.8,1.785,1.005,5.04,0.375,No,No,No
30.11.2025,20:43.5,,1.095,1.095,1.8,1.785,1.005,5.04,0.25,No,No,No,47.5,1.095,1.095,1.8,1.785,1.005,5.04,0.75,No,No,No
30.11.2025,20:45.5,,1.095,1.095,1.8,1.8,1.005,5.04,0.25,No,No,No,47.5,1.095,1.095,1.8,1.8,1.005,5.04,1.25,No,No,No
30.11.2025,20:47.5,,1.095,1.095,1.8,1.8,1.005,5.04,0.375,No,No,No,47.5,1.095,1.095,1.8,1.8,0.99,5.04,1.125,No,No,No
30.11.2025,20:49.5,,1.095,1.095,1.8,1.8,1.005,5.04,0.25,No,No,No,47.5,1.095,1.095,1.8,1.8,1.005,4.97,0.375,No,No,No
30.11.2025,20:51.5,,1.095,1.095,1.8,1.8,1.005,5.04,0.625,No,No,No,47.5,1.08,1.095,1.8,1.8,1.005,5.04,0.25,No,No,No
30.11.2025,20:53.6,,1.095,1.095,1.8,1.8,1.005,5.04,1.875,No,No,No,47.5,1.095,1.095,1.8,1.8,1.005,5.04,1.875,No,No,No
30.11.2025,20:55.6,,1.095,1.095,1.8,1.8,1.005,5.04,2,No,No,No,47.5,1.095,1.095,1.8,1.8,1.005,5.04,2.375,No,No,No
30.11.2025,20:57.5,,1.095,1.095,1.8,1.785,1.005,5.04,2,No,No,No,48.2,1.095,1.095,1.8,1.8,1.005,5.04,2,No,No,No
30.11.2025,20:59.5,,1.095,1.095,1.8,1.785,0.99,5.04,1.875,No,No,No,48.8,1.095,1.095,1.8,1.785,0.99,5.04,2,No,No,No
30.11.2025,21:01.5,,1.095,1.095,1.8,1.785,0.99,5.04,2,No,No,No,49.2,1.095,1.095,1.8,1.785,0.99,4.97,2,No,No,No
30.11.2025,21:03.5,,1.095,1.095,1.8,1.785,0.99,5.04,0.375,No,No,No,49.8,1.08,1.095,1.8,1.785,0.99,5.04,0.375,No,No,No
30.11.2025,21:05.5,,1.095,1.095,1.8,1.785,0.99,5.04,0.375,No,No,No,49.8,1.095,1.11,1.8,1.785,0.99,5.04,0.25,No,No,No
30.11.2025,21:07.5,,1.095,1.095,1.8,1.785,0.99,5.04,0.25,No,No,No,50,1.095,1.095,1.8,1.785,0.99,5.04,0.125,No,No,No
30.11.2025,21:09.5,,1.095,1.095,1.8,1.785,0.99,5.04,0.25,No,No,No,49.8,1.095,1.095,1.8,1.8,0.99,5.04,0.625,No,No,No
30.11.2025,21:11.5,,1.095,1.095,1.8,1.785,1.005,5.04,0.25,No,No,No,50,1.095,1.095,1.8,1.785,0.99,5.04,0.375,No,No,No
30.11.2025,21:13.5,,1.095,1.095,1.8,1.785,1.005,5.04,0.375,No,No,No,49.8,1.095,1.095,1.8,1.785,1.005,4.97,0.125,No,No,No
30.11.2025,21:15.5,,1.095,1.095,1.8,1.785,1.005,5.04,0.625,No,No,No,49.8,1.095,1.095,1.8,1.785,1.005,5.04,0.625,No,No,No
30.11.2025,21:17.5,,1.095,1.095,1.8,1.785,1.005,5.04,0.25,No,No,No,49.8,1.095,1.11,1.8,1.785,1.005,5.04,0.375,No,No,No
30.11.2025,21:19.5,,1.095,1.095,1.8,1.785,1.005,5.04,0.25,No,No,No,49.8,1.095,1.095,1.815,1.785,1.005,5.04,0.375,No,No,No
30.11.2025,21:21.5,,1.095,1.095,1.8,1.785,1.005,5.04,0.375,No,No,No,49.5,1.095,1.095,1.8,1.8,1.005,5.04,2.25,No,No,No
30.11.2025,21:23.5,,1.095,1.095,1.8,1.785,1.005,5.04,1.625,No,No,No,49.5,1.095,1.095,1.8,1.785,0.99,5.04,0.625,No,No,No
30.11.2025,21:25.5,,1.095,1.095,1.8,1.785,1.005,5.04,0.25,No,No,No,49.2,1.095,1.095,1.8,1.785,1.005,4.97,0.625,No,No,No
30.11.2025,21:27.5,,1.095,1.095,1.8,1.785,1.005,5.04,0.375,No,No,No,49.2,1.08,1.095,1.8,1.785,1.005,5.04,0.375,No,No,No
30.11.2025,21:29.5,,1.095,1.095,1.8,1.785,1.005,5.04,0.375,No,No,No,49.2,1.095,1.11,1.8,1.785,1.005,5.04,0.625,No,No,No
30.11.2025,21:31.5,,1.095,1.095,1.8,1.785,1.005,5.04,0.375,No,No,No,49.2,1.095,1.095,1.8,1.785,1.005,5.04,0.25,No,No,No
30.11.2025,21:33.5,,1.095,1.095,1.8,1.785,1.005,5.04,1.25,No,No,No,49.2,1.095,1.095,1.8,1.8,1.005,5.04,1.25,No,No,No
30.11.2025,21:35.5,,1.095,1.095,1.8,1.785,1.005,5.04,0.375,No,No,No,49.2,1.095,1.095,1.8,1.785,0.99,5.04,0.625,No,No,No
30.11.2025,21:37.5,,1.095,1.095,1.8,1.785,1.005,5.04,0.25,No,No,No,49.2,1.095,1.095,1.8,1.785,1.005,4.97,0.375,No,No,No
30.11.2025,21:39.5,,1.095,1.095,1.8,1.785,1.005,5.04,0.25,No,No,No,49.2,1.08,1.095,1.8,1.785,1.005,5.04,0.25,No,No,No
30.11.2025,21:41.5,,1.095,1.095,1.8,1.785,1.005,5.04,0.625,No,No,No,49,1.095,1.11,1.8,1.785,1.005,5.04,1.125,No,No,No
30.11.2025,21:43.5,,1.095,1.095,1.8,1.785,1.005,5.04,1,No,No,No,49.2,1.095,1.095,1.815,1.785,1.005,5.04,2.25,No,No,No
30.11.2025,21:45.5,,1.095,1.095,1.8,1.785,1.005,5.04,0.25,No,No,No,49.2,1.095,1.095,1.8,1.8,1.005,5.04,0.375,No,No,No
30.11.2025,21:47.5,,1.095,1.095,1.8,1.785,1.005,5.04,0.875,No,No,No,49.2,1.095,1.095,1.8,1.785,0.99,5.04,0,No,No,No
30.11.2025,21:49.5,,1.095,1.095,1.8,1.785,1.005,5.04,0.25,No,No,No,49.2,1.095,1.095,1.8,1.785,1.005,4.97,0.375,No,No,No
30.11.2025,21:51.5,,1.095,1.095,1.8,1.785,1.005,5.04,0.875,No,No,No,49.2,1.08,1.095,1.8,1.785,1.005,5.04,1.875,No,No,No
30.11.2025,21:53.5,,1.095,1.095,1.8,1.785,1.005,5.04,0.5,No,No,No,49,1.095,1.095,1.8,1.785,1.005,5.04,1,No,No,No
30.11.2025,21:55.5,,1.095,1.095,1.8,1.785,1.005,5.04,0.25,No,No,No,49,1.095,1.095,1.8,1.785,1.005,5.04,2,No,No,No
30.11.2025,21:57.5,,1.095,1.095,1.8,1.785,1.005,5.04,0.25,No,No,No,49,1.095,1.095,1.8,1.8,1.005,5.04,0.25,No,No,No
30.11.2025,21:59.5,,1.095,1.095,1.8,1.785,0.99,5.04,0.375,No,No,No,49,1.095,1.095,1.8,1.785,0.99,5.04,0.125,No,No,No
30.11.2025,22:01.5,,1.095,1.095,1.8,1.785,0.99,5.04,1,No,No,No,49,1.095,1.095,1.8,1.785,0.99,5.04,0.875,No,No,No
30.11.2025,22:03.5,,1.095,1.095,1.8,1.785,0.99,5.04,2,No,No,No,49,1.08,1.095,1.8,1.785,0.99,5.04,0.375,No,No,No
30.11.2025,22:05.5,,1.095,1.095,1.8,1.785,0.99,5.04,0.375,No,No,No,49.2,1.095,1.11,1.8,1.785,0.99,5.04,1,No,No,No
30.11.2025,22:07.5,,1.095,1.095,1.8,1.785,0.99,5.04,0.25,No,No,No,49.2,1.095,1.095,1.8,1.785,0.99,5.04,0.5,No,No,No
30.11.2025,22:09.5,,1.095,1.095,1.8,1.785,0.99,5.04,0.375,No,No,No,49.2,1.095,1.095,1.8,1.8,0.99,5.04,0.375,No,No,No
30.11.2025,22:11.5,,1.095,1.095,1.8,1.785,1.005,5.04,0.875,No,No,No,49,1.095,1.095,1.8,1.785,1.005,5.04,0.75,No,No,No
30.11.2025,22:13.5,,1.095,1.095,1.8,1.785,1.005,5.04,0.25,No,No,No,49,1.095,1.095,1.8,1.785,1.005,5.04,0.375,No,No,No
30.11.2025,22:15.5,,1.095,1.095,1.8,1.785,1.005,5.04,0.25,No,No,No,49,1.095,1.095,1.8,1.785,1.005,5.04,0.625,No,No,No
30.11.2025,22:17.5,,1.095,1.095,1.8,1.785,1.005,5.04,0.375,No,No,No,49,1.095,1.095,1.8,1.785,1.005,5.04,0.375,No,No,No
30.11.2025,22:19.5,,1.095,1.095,1.8,1.785,1.005,5.04,0.25,No,No,No,49,1.095,1.095,1.815,1.785,1.005,5.04,0.375,No,No,No
30.11.2025,22:21.5,,1.095,1.095,1.8,1.8,1.005,5.04,0.25,No,No,No,49,1.095,1.095,1.8,1.8,1.005,5.04,0.625,No,No,No
30.11.2025,22:23.5,,1.095,1.095,1.8,1.8,1.005,5.04,0.25,No,No,No,48.8,1.095,1.095,1.8,1.8,0.99,5.04,0.375,No,No,No
30.11.2025,22:25.5,,1.095,1.095,1.8,1.8,1.005,5.04,0.25,No,No,No,48.8,1.095,1.095,1.8,1.8,1.005,4.97,0.625,No,No,No
30.11.2025,22:27.5,,1.095,1.095,1.8,1.8,1.005,5.04,0.25,No,No,No,48.8,1.08,1.095,1.8,1.8,1.005,5.04,0.75,No,No,No
30.11.2025,22:29.5,,1.095,1.095,1.8,1.8,1.005,5.04,2,No,No,No,48.8,1.095,1.095,1.8,1.8,1.005,5.04,0.375,No,No,No
30.11.2025,22:31.5,,1.095,1.095,1.8,1.8,1.005,5.04,0.25,No,No,No,48.8,1.095,1.095,1.8,1.8,1.005,5.04,1,No,No,No
30.11.2025,22:33.5,,1.095,1.095,1.8,1.8,1.005,5.04,0.25,No,No,No,48.8,1.095,1.095,1.8,1.8,1.005,5.04,0.375,No,No,No
30.11.2025,22:35.5,,1.095,1.095,1.8,1.8,1.005,5.04,0.875,No,No,No,48.8,1.095,1.095,1.8,1.8,0.99,5.04,0.375,No,No,No
30.11.2025,22:37.5,,1.095,1.095,1.8,1.8,1.005,5.04,1.125,No,No,No,48.8,1.095,1.095,1.8,1.8,1.005,4.97,0.625,No,No,No
30.11.2025,22:39.5,,1.095,1.095,1.8,1.8,1.005,5.04,0.25,No,No,No,48.8,1.095,1.095,1.8,1.8,1.005,5.04,0.625,No,No,No
30.11.2025,22:41.5,,1.095,1.095,1.8,1.8,1.005,5.04,0.25,No,No,No,48.8,1.095,1.11,1.8,1.8,1.005,5.04,0.625,No,No,No
30.11.2025,22:43.5,,1.095,1.095,1.8,1.8,1.005,5.04,0.25,No,No,No,48.8,1.095,1.095,1.8,1.8,1.005,5.04,0.375,No,No,No
30.11.2025,22:45.5,,1.095,1.095,1.8,1.8,1.005,5.04,0.875,No,No,No,48.8,1.095,1.095,1.8,1.8,1.005,5.04,0.375,No,No,No
30.11.2025,22:47.5,,1.095,1.095,1.8,1.8,1.005,5.04,0.625,No,No,No,48.8,1.095,1.095,1.8,1.8,0.99,5.04,0.375,No,No,No
30.11.2025,22:49.5,,1.095,1.095,1.8,1.8,1.005,5.04,0.25,No,No,No,48.8,1.095,1.095,1.8,1.8,1.005,4.97,0,No,No,No
30.11.2025,22:51.5,,1.095,1.095,1.8,1.8,1.005,5.04,0.25,No,No,No,48.8,1.08,1.095,1.8,1.8,1.005,5.04,1,No,No,No
30.11.2025,22:53.5,,1.095,1.095,1.8,1.8,1.005,5.04,0.625,No,No,No,48.8,1.095,1.11,1.8,1.8,1.005,5.04,0.875,No,No,No
30.11.2025,22:55.5,,1.095,1.095,1.8,1.8,1.005,5.04,0.625,No,No,No,48.8,1.095,1.095,1.8,1.8,1.005,5.04,0.125,No,No,No
30.11.2025,22:57.5,,1.095,1.095,1.8,1.8,1.005,5.04,0.75,No,No,No,48.8,1.095,1.095,1.8,1.8,1.005,5.04,0.625,No,No,No
30.11.2025,22:59.5,,1.095,1.095,1.8,1.8,0.99,5.04,1.75,No,No,No,48.8,1.095,1.095,1.8,1.8,0.99,5.04,0.625,No,No,No
30.11.2025,23:01.5,,1.095,1.095,1.8,1.8,0.99,5.04,0.375,No,No,No,48.8,1.095,1.095,1.8,1.8,0.99,5.04,1.25,No,No,No
30.11.2025,23:03.5,,1.08,1.095,1.8,1.8,0.99,5.04,0.25,No,No,No,48.8,1.095,1.095,1.8,1.8,0.99,5.04,0.75,No,No,No
30.11.2025,23:05.5,,1.08,1.11,1.8,1.8,0.99,5.04,0.375,No,No,No,49,1.08,1.095,1.8,1.8,0.99,5.04,0.625,No,No,No
30.11.2025,23:07.5,,1.08,1.11,1.8,1.8,0.99,5.04,1.625,No,No,No,49,1.08,1.11,1.8,1.8,0.99,5.04,0.75,No,No,No
30.11.2025,23:09.5,,1.08,1.11,1.8,1.8,0.99,5.04,1.875,No,No,No,49,1.08,1.11,1.8,1.8,0.99,5.04,0.625,No,No,No
30.11.2025,23:11.5,,1.08,1.11,1.8,1.8,1.005,5.04,0.25,No,No,No,49,1.08,1.11,1.8,1.8,0.975,5.04,1,No,No,No
30.11.2025,23:13.5,,1.08,1.11,1.8,1.8,1.005,5.04,0.375,No,No,No,49.2,1.08,1.11,1.8,1.8,1.005,4.97,0.75,No,No,No
30.11.2025,23:15.5,,1.095,1.11,1.8,1.8,1.005,5.04,1.125,No,No,No,49.2,1.08,1.11,1.8,1.8,1.005,5.04,0.625,No,No,No
30.11.2025,23:17.5,,1.095,1.095,1.8,1.8,1.005,5.04,0.75,No,No,No,49.2,1.095,1.11,1.8,1.8,1.005,5.04,1,No,No,No
30.11.2025,23:19.5,,1.095,1.095,1.8,1.8,1.005,5.04,0.25,No,No,No,49.2,1.095,1.095,1.8,1.8,1.005,5.04,0.625,No,No,No
30.11.2025,23:21.5,,1.095,1.095,1.8,1.8,1.005,5.04,0.25,No,No,No,49.2,1.095,1.095,1.8,1.8,1.005,5.04,0.375,No,No,No
30.11.2025,23:23.5,,1.095,1.095,1.8,1.8,0.99,5.04,0.25,No,No,No,49.2,1.095,1.095,1.8,1.8,0.975,5.04,0.375,No,No,No
30.11.2025,23:25.5,,1.095,1.095,1.8,1.8,0.99,5.04,0.25,No,No,No,49.2,1.095,1.095,1.8,1.8,0.99,5.04,0.75,No,No,No
30.11.2025,23:27.5,,1.095,1.095,1.8,1.8,0.99,5.04,0.375,No,No,No,49,1.095,1.095,1.8,1.8,0.99,5.04,1.125,No,No,No
30.11.2025,23:29.5,,1.095,1.095,1.8,1.8,0.99,5.04,0.75,No,No,No,49,1.095,1.095,1.8,1.8,0.99,5.04,0.375,No,No,No
30.11.2025,23:31.5,,1.095,1.095,1.8,1.8,0.99,5.04,1.125,No,No,No,49,1.095,1.095,1.8,1.8,0.99,5.04,0.25,No,No,No
30.11.2025,23:33.5,,1.095,1.095,1.8,1.8,0.99,5.04,0.375,No,No,No,49,1.095,1.095,1.8,1.8,0.99,5.04,0.375,No,No,No
30.11.2025,23:35.5,,1.095,1.095,1.8,1.8,1.005,5.04,0.25,No,No,No,49,1.095,1.095,1.8,1.8,0.99,5.04,0.375,No,No,No
30.11.2025,23:37.5,,1.095,1.095,1.8,1.8,1.005,5.04,0.25,No,No,No,49,1.095,1.095,1.8,1.8,1.005,5.04,0.625,No,No,No
30.11.2025,23:39.5,,1.095,1.095,1.8,1.8,1.005,5.04,0.875,No,No,No,49,1.08,1.095,1.8,1.8,1.005,5.04,0.375,No,No,No
30.11.2025,23:41.5,,1.095,1.11,1.8,1.8,1.005,5.04,0.125,No,No,No,49,1.095,1.11,1.8,1.8,1.005,5.04,0,No,No,No
30.11.2025,23:43.5,,1.095,1.11,1.8,1.8,1.005,5.04,0.25,No,No,No,49,1.095,1.11,1.8,1.8,1.005,5.04,0.375,No,No,No
30.11.2025,23:45.5,,1.095,1.11,1.8,1.8,1.005,5.04,0.25,No,No,No,48.8,1.095,1.11,1.8,1.8,1.005,5.04,0.375,No,No,No
30.11.2025,23:47.5,,1.095,1.11,1.8,1.8,0.99,5.04,0.375,No,No,No,48.8,1.095,1.11,1.8,1.8,0.99,5.04,0.625,No,No,No
30.11.2025,23:49.5,,1.095,1.11,1.8,1.8,0.99,5.04,0.25,No,No,No,48.8,1.095,1.11,1.8,1.8,0.99,5.04,0.375,No,No,No
30.11.2025,23:51.5,,1.095,1.11,1.8,1.8,0.99,5.04,0.25,No,No,No,48.8,1.08,1.11,1.8,1.8,0.99,5.04,0.125,No,No,No
30.11.2025,23:53.5,,1.095,1.095,1.8,1.8,0.99,5.04,0.625,No,No,No,48.8,1.095,1.11,1.8,1.8,0.99,5.04,0.625,No,No,No
30.11.2025,23:55.5,,1.095,1.095,1.8,1.8,0.99,5.04,0.375,No,No,No,48.8,1.095,1.095,1.8,1.8,0.99,5.04,0.375,No,No,No
30.11.2025,23:57.5,,1.095,1.095,1.8,1.785,0.99,5.04,0.125,No,No,No,48.8,1.095,1.095,1.8,1.8,0.99,5.04,0.625,No,No,No
30.11.2025,23:59.5,,1.095,1.095,1.8,1.785,1.005,5.04,0.875,No,No,No,49,1.095,1.095,1.8,1.785,0.99,5.04,0.625,No,No,No
30.11.2025,24:01.5,,1.095,1.095,1.8,1.785,1.005,5.04,0.625,No,No,No,49,1.095,1.095,1.8,1.785,1.005,4.97,0.375,No,No,No
30.11.2025,24:03.5,,1.095,1.095,1.8,1.785,1.005,5.04,0.375,No,No,No,49,1.08,1.095,1.8,1.785,1.005,5.04,0.25,No,No,No
30.11.2025,24:05.5,,1.095,1.095,1.8,1.785,1.005,5.04,1.5,No,No,No,49,1.095,1.095,1.8,1.785,1.005,5.04,1.25,No,No,No
30.11.2025,24:07.6,,1.095,1.095,1.8,1.785,1.005,5.04,1.5,No,No,No,49.2,1.095,1.095,1.8,1.785,1.005,5.04,1.25,No,No,No
30.11.2025,24:09.5,,1.095,1.095,1.8,1.8,1.005,5.04,1.25,No,No,No,49.5,1.095,1.095,1.8,1.8,1.005,5.04,1.25,No,No,No
30.11.2025,24:12.0,,1.095,1.095,1.8,1.8,1.005,5.04,1.875,No,No,No,50,1.095,1.095,1.8,1.8,0.975,5.04,2.25,No,No,No
30.11.2025,24:13.5,,1.095,1.095,1.8,1.8,1.005,5.04,0.75,No,No,No,50,1.095,1.095,1.8,1.8,1.005,5.04,0.25,No,No,No
30.11.2025,24:15.6,,1.095,1.095,1.8,1.8,1.005,5.04,2.125,No,No,No,50.5,1.08,1.095,1.8,1.8,1.005,5.04,2.125,No,No,No
30.11.2025,24:17.5,,1.095,1.095,1.8,1.8,1.005,5.04,0.125,No,No,No,50.8,1.095,1.11,1.8,1.8,1.005,5.04,0.875,No,No,No
30.11.2025,24:19.5,,1.095,1.095,1.8,1.8,1.005,5.04,0.375,No,No,No,51,1.095,1.095,1.815,1.8,1.005,5.04,0.375,No,No,No
30.11.2025,24:21.5,,1.095,1.095,1.8,1.8,1.005,5.04,0.375,No,No,No,50.8,1.095,1.095,1.8,1.8,1.005,5.04,0.375,No,No,No
30.11.2025,24:23.5,,1.095,1.095,1.8,1.8,0.99,5.04,0.25,No,No,No,50.8,1.095,1.095,1.8,1.8,0.99,5.04,0.625,No,No,No
30.11.2025,24:25.5,,1.095,1.095,1.8,1.8,0.99,5.04,0.25,No,No,No,50.8,1.095,1.095,1.8,1.8,0.99,5.04,0.375,No,No,No
30.11.2025,24:27.5,,1.095,1.095,1.8,1.8,0.99,5.04,0.25,No,No,No,50.8,1.095,1.095,1.8,1.8,0.99,5.04,0.375,No,No,No
30.11.2025,24:29.5,,1.095,1.095,1.8,1.8,0.99,5.04,0.25,No,No,No,50.8,1.095,1.095,1.8,1.8,0.99,5.04,0.625,No,No,No
30.11.2025,24:31.5,,1.095,1.095,1.8,1.8,0.99,5.04,1.625,No,No,No,50.5,1.095,1.095,1.815,1.8,0.99,5.04,0.625,No,No,No
30.11.2025,24:33.5,,1.095,1.095,1.8,1.8,0.99,5.04,0.375,No,No,No,50.5,1.095,1.095,1.8,1.8,0.99,5.04,0.625,No,No,No
30.11.2025,24:35.5,,1.095,1.095,1.8,1.8,1.005,5.04,0.75,No,No,No,50.5,1.095,1.095,1.8,1.8,0.99,5.04,0.5,No,No,No
30.11.2025,24:37.5,,1.095,1.095,1.8,1.8,1.005,5.04,1.875,No,No,No,50.5,1.095,1.095,1.8,1.8,1.005,5.04,2,No,No,No
30.11.2025,24:39.5,,1.095,1.095,1.8,1.8,1.005,5.04,2,No,No,No,50.8,1.08,1.095,1.8,1.8,1.005,5.04,2,No,No,No
30.11.2025,24:42.1,,1.095,1.095,1.8,1.8,1.005,5.04,2.25,No,No,No,51.2,1.095,1.11,1.8,1.8,1.005,5.04,2,No,No,No
30.11.2025,24:43.5,,1.095,1.095,1.8,1.8,1.005,5.04,0.625,No,No,No,51.5,1.095,1.095,1.8,1.8,1.005,5.04,0.625,No,No,No
30.11.2025,24:46.9,,1.095,1.095,1.8,1.785,1.005,5.04,2.125,No,No,No,51.8,1.095,1.095,1.8,1.8,1.005,5.04,2.25,No,No,No
30.11.2025,24:48.6,,1.095,1.095,1.8,1.785,1.005,5.04,2,No,No,No,52.2,1.095,1.095,1.8,1.785,0.99,5.04,2.125,No,No,No
30.11.2025,24:49.5,,1.095,1.095,1.8,1.785,1.005,5.04,0.875,No,No,No,52.5,1.095,1.095,1.8,1.785,1.005,5.04,1.5,No,No,No
30.11.2025,24:51.5,,1.095,1.095,1.8,1.785,1.005,5.04,1.75,No,No,No,52.5,1.08,1.095,1.8,1.785,1.005,5.04,1.875,No,No,No
30.11.2025,24:53.5,,1.095,1.095,1.8,1.785,1.005,5.04,1.75,No,No,No,52.5,1.095,1.11,1.8,1.785,1.005,5.04,2.125,No,No,No
30.11.2025,24:55.5,,1.095,1.095,1.8,1.785,1.005,5.04,0.125,No,No,No,52.2,1.095,1.095,1.8,1.785,1.005,5.04,0.375,No,No,No
30.11.2025,24:57.5,,1.095,1.095,1.8,1.8,1.005,5.04,0.375,No,No,No,52.2,1.095,1.095,1.8,1.8,1.005,5.04,0.75,No,No,No
30.11.2025,24:59.5,,1.095,1.095,1.8,1.8,1.005,5.04,0.125,No,No,No,52.2,1.095,1.095,1.8,1.8,0.99,5.04,2.25,No,No,No
30.11.2025,25:01.5,,1.095,1.095,1.8,1.8,1.005,5.04,2,No,No,No,52.2,1.095,1.095,1.8,1.8,1.005,5.04,1.375,No,No,No
30.11.2025,25:03.5,,1.095,1.095,1.8,1.8,1.005,5.04,1.25,No,No,No,52.2,1.08,1.095,1.8,1.8,1.005,5.04,1.375,No,No,No
30.11.2025,25:05.5,,1.095,1.095,1.8,1.8,1.005,5.04,0.75,No,No,No,52.2,1.095,1.095,1.8,1.8,1.005,5.04,0.125,No,No,No
30.11.2025,25:07.5,,1.095,1.095,1.815,1.8,1.005,5.04,0.375,No,No,No,52.2,1.095,1.095,1.8,1.8,1.005,5.04,0.375,No,No,No